DateAndTime,rActVal,value,unit,value.1,unit.1,value.2,unit.2,value.3,unit.3,value.4,unit.4,value.5,unit.5
2022-09-22T16:20:26.027,25.34799,3931.913,Wh,11.72674,W,15.53159,W,38.85191,W,0,l/min,5.705781,bar
2022-09-22T16:20:26.027,25.34799,3931.913,Wh,11.72674,W,15.53159,W,38.85191,W,0,l/min,5.705781,bar
2022-09-22T16:20:27.033,25.25031,3931.93,Wh,11.65426,W,15.52229,W,38.78962,W,0,l/min,5.690766,bar
2022-09-22T16:20:28.048,25.34799,3931.947,Wh,11.69973,W,15.54665,W,38.79656,W,0,l/min,5.618105,bar
2022-09-22T16:20:29.072,25.29915,3931.969,Wh,11.66171,W,15.53742,W,38.68131,W,0,l/min,5.648856,bar
2022-09-22T16:20:30.081,25.25031,3931.986,Wh,11.81213,W,15.54386,W,38.55006,W,0,l/min,5.692914,bar
2022-09-22T16:20:31.097,25.15263,3932.003,Wh,11.68059,W,15.53416,W,38.87797,W,0,l/min,5.709296,bar
2022-09-22T16:20:32.116,25.20147,3932.022,Wh,11.72576,W,15.52557,W,39.0914,W,0,l/min,5.708808,bar
2022-09-22T16:20:33.135,25.34799,3932.041,Wh,11.64915,W,15.55818,W,39.31061,W,0,l/min,5.64219,bar
2022-09-22T16:20:34.142,25.15263,3932.058,Wh,11.73275,W,15.53883,W,39.17439,W,0,l/min,5.628322,bar
2022-09-22T16:20:35.159,25.29915,3932.082,Wh,11.79092,W,15.53471,W,39.56781,W,0,l/min,5.676116,bar
2022-09-22T16:20:36.171,25.34799,3932.098,Wh,11.74273,W,15.57325,W,39.71288,W,0,l/min,5.705719,bar
2022-09-22T16:20:37.170,25.15263,3932.112,Wh,11.69035,W,15.53791,W,39.92596,W,1.330771,l/min,5.703938,bar
2022-09-22T16:20:38.192,25.34799,3932.134,Wh,11.72675,W,15.5259,W,40.11299,W,1.685771,l/min,5.642592,bar
2022-09-22T16:20:39.212,25.25031,3932.152,Wh,11.68642,W,15.52831,W,39.53574,W,0,l/min,5.636125,bar
2022-09-22T16:20:40.214,25.20147,3932.168,Wh,11.78004,W,15.56023,W,38.80561,W,0,l/min,5.661686,bar
2022-09-22T16:20:41.214,25.29915,3932.188,Wh,11.66061,W,15.52937,W,38.92212,W,0,l/min,5.66486,bar
2022-09-22T16:20:42.224,25.15263,3932.207,Wh,11.76217,W,15.51881,W,39.10342,W,0,l/min,5.705133,bar
2022-09-22T16:20:43.237,25.29915,3932.229,Wh,11.64496,W,15.50504,W,39.17783,W,0,l/min,5.691705,bar
2022-09-22T16:20:44.253,25.34799,3932.243,Wh,11.72484,W,15.50465,W,38.98307,W,0,l/min,5.616991,bar
2022-09-22T16:20:45.273,25.25031,3932.265,Wh,11.73262,W,15.55067,W,39.50461,W,0,l/min,5.65075,bar
2022-09-22T16:20:46.284,25.34799,3932.28,Wh,11.71738,W,15.54481,W,39.85117,W,0,l/min,5.703266,bar
2022-09-22T16:20:47.308,25.20147,3932.3,Wh,11.69471,W,15.55028,W,40.09592,W,1.324911,l/min,5.70506,bar
2022-09-22T16:20:48.321,25.34799,3932.32,Wh,11.74708,W,15.51167,W,40.56014,W,1.455777,l/min,5.668475,bar
2022-09-22T16:20:49.332,25.25031,3932.338,Wh,11.68049,W,15.50043,W,40.07527,W,0,l/min,5.637085,bar
2022-09-22T16:20:50.348,25.34799,3932.355,Wh,11.74364,W,15.51219,W,39.68074,W,0,l/min,5.629848,bar
2022-09-22T16:20:51.365,25.20147,3932.378,Wh,11.68579,W,15.51188,W,40.2461,W,0,l/min,5.660869,bar
2022-09-22T16:20:52.368,25.15263,3932.394,Wh,11.69008,W,15.52526,W,40.09173,W,0,l/min,5.681316,bar
2022-09-22T16:20:53.379,25.25031,3932.412,Wh,11.68287,W,15.51686,W,39.92681,W,1.4371,l/min,5.659404,bar
2022-09-22T16:20:54.382,25.29915,3932.429,Wh,11.72164,W,15.52122,W,39.98515,W,1.394982,l/min,5.654118,bar
2022-09-22T16:20:55.386,25.29915,3932.451,Wh,11.77954,W,15.45882,W,38.80807,W,0,l/min,5.630639,bar
2022-09-22T16:20:56.382,25.34799,3932.465,Wh,11.73405,W,15.49169,W,38.80928,W,0,l/min,5.669963,bar
2022-09-22T16:20:57.395,25.29915,3932.484,Wh,11.72929,W,15.49597,W,39.04292,W,0,l/min,5.707673,bar
2022-09-22T16:20:58.407,25.15263,3932.506,Wh,11.7275,W,15.52415,W,38.78794,W,0,l/min,5.666703,bar
2022-09-22T16:20:59.412,25.29915,3932.524,Wh,11.68137,W,15.51092,W,38.65733,W,0,l/min,5.66369,bar
2022-09-22T16:21:00.416,25.29915,3932.541,Wh,11.79834,W,15.5086,W,38.83521,W,0,l/min,5.701532,bar
2022-09-22T16:21:01.412,25.29915,3932.559,Wh,11.71856,W,15.5163,W,38.77674,W,0,l/min,5.712311,bar
2022-09-22T16:21:02.424,25.34799,3932.579,Wh,11.74542,W,15.52642,W,36.3594,W,0,l/min,5.717292,bar
2022-09-22T16:21:03.427,25.29915,3932.592,Wh,11.67548,W,15.53111,W,30.39046,W,0,l/min,5.71734,bar
2022-09-22T16:21:04.436,25.15263,3932.609,Wh,11.73903,W,15.49458,W,30.31227,W,0,l/min,5.638368,bar
2022-09-22T16:21:05.440,25.15263,3932.625,Wh,11.73703,W,15.49003,W,30.32427,W,0,l/min,5.590561,bar
